neuron,skeleton_id,Signal Flow,Eigenvalue 0.14,Eigenvalue 0.42,Eigenvalue 0.44,Eigenvalue 0.48,Eigenvalue 0.54,Eigenvalue 0.61,Eigenvalue 0.64,Eigenvalue 0.67,Eigenvalue 0.69,Eigenvalue 0.74,Graph partition (cell types),Graph partition (cell types) mirror,Betweenness centrality,Cable length (nm),Cable w/o principal branch (nm),Num. input synapses,Num. output synapses,Ratio (I - O) / (I + O),Segregation index,Asymmetry index,Cable asymmetry index,Output asymmetry index,Input asymmetry index,Cable of terminal segments (nm),Norm. cable of terminal segments (nm),Num. terminal segments,Num. branches,Cable of hillock (nm),Cable of main dendritic shaft (nm),PC 1 - 2.65,PC 2 - 1.35,PC 3 - 0.99,PC 4 - 0.55,PC 5 - 0.29,PC 6 - 0.17
Basin-1 a4l,514841,1.5051794456225451,0.112039829102293,0.14771692515549525,-0.03588355972915379,0.16339017394291463,0.3297942391768853,-0.20436962159104508,-0.12705391708556715,0.3378333583295451,-0.011344380521106114,-0.1086670151111306,-0.03588355972915379,-0.03588355972915379,0.0031744352150679857,379080,311024.8282233572,246,224,0.04680851063829787,0.16028444501917571,0.6737563897097067,0.682840431641936,0.4900471337634599,0.7081875536935656,128938.30283028544,0.3401348075084031,210,200,10060.59546613098,3221.3795521930215,-1.0848824136326742,0.10994462308872799,1.4372527905168722,0.6501438285290111,-0.8296340934596209,-1.61175645697185
A09a_a4l Basin-2,519624,0.6190780387232679,0.07165064372038761,-0.08164593751033572,-0.10052999823693208,-0.12434252303776927,-0.025721288473844174,-0.1987450734311856,-0.13456995155519827,0.02248171434405762,-0.06087509041208373,0.22324976176458045,-0.10052999823693208,-0.10052999823693208,0,246807,188898.63450285856,150,236,-0.22279792746113988,0.7378238506171404,0.6840206117589869,0.660528204237757,0.24634719924286969,0.6444019268650039,85651.47966112806,0.3470382917061836,119,114,10948.200525748032,7357.99148450236,0.5862882315577662,0.1862215936589901,0.12517739555190527,0.21826750690473512,1.713658882267389,0.42376990760285105
A09c_a4l Basin-4,587083,0.8978638572839968,0.06016652111703461,0.026251204637609472,-0.07028606440448808,0.0373619171166697,0.1643640083852315,-0.22392303646291725,-0.19863527950443877,0.34710694194033337,0.032529067136322844,-0.07487771750502602,-0.07028606440448808,-0.07028606440448808,0.012697740860271943,224839,168387.0824602822,138,127,0.04150943396226415,0.38704742071102805,0.6550475144302408,0.68779622205121,0.4565144753930674,0.6821563654016414,69104.2589467867,0.30734996573898077,93,91,9984.482631114079,9215.922426619849,-0.4454731743763609,-0.7519715861493794,0.2822416081650607,1.0095377706866229,0.6074146125311666,-1.3550279879270244
A00c_a6l,1042538,0.6396848795525663,0.11935284751374187,0.20325594462884186,0.1485751780797572,0.20118263852883486,0.22746844649689266,-0.02681101075416138,0.17862730204319696,0.0009779053037882615,-0.12647378192602374,-0.15576669424300754,0.1485751780797572,0.1485751780797572,0.12755938839214856,838181,615989.7226552126,545,756,-0.16218293620292082,0.42078911636470884,0.6877452317333577,0.7186532584932342,0.509002925110956,0.7326116041243245,310326.08458302997,0.37023755559125054,252,244,111377.96086648673,1220.8159127220924,0.14858141951775206,1.7458226878629965,-0.5484609197336714,0.002493608952219839,-3.2677125016910624,-1.0745325467687878
Basin-1 a4r,1398260,1.2817873998749114,0.08916774048867757,0.08796793426604387,0.11843529859836378,0.04620169767068883,0.0973329871524339,0.06962739118169373,-0.07189882810031169,-0.3083539014749206,0.2972266792409979,-0.22852408844840752,0.11843529859836378,0.11843529859836378,0.2523675995979049,241047,175256.1674755772,124,190,-0.21019108280254778,0.15397728435199087,0.6116769618004769,0.599750308851212,0.4933981892875588,0.5965176491138571,67815.95694209158,0.28133914523761583,110,104,13205.866096770067,11618.676802407685,-0.6077490132861119,-2.3034132921144503,0.2446660014295715,-0.45772154271938553,0.6434386221965331,-1.8538514186814874
A09a_a4r Basin-2,1398327,0.29203761353678737,0.06020528378638665,-0.0503287761082274,0.056246988386668265,-0.10061012922631866,-0.07371700875082357,-0.07838650107452391,-0.1468234363896011,-0.2536844469198578,0.03563710636233483,-0.04400050216464051,0.056246988386668265,0.056246988386668265,0.011904132056504948,232507,181152.7657246095,158,174,-0.04819277108433735,0.6816913836577498,0.6404249537526181,0.6136687376215846,0.14726053542911724,0.6597028400294209,73917.89119504334,0.3179168420522536,119,113,10432.03269719416,6322.096594267019,0.4714284145387119,0.22883745570251418,0.6076376929781688,0.3906575010288615,1.5873915863370964,1.2751650714061613
A09c_a4r Basin-4,1400270,1.1007302017996616,0.05466458568407441,-0.03879132521992085,0.1208634530302306,-0.12982732501582975,-0.14389622296916263,-0.0427610308637263,-0.06537121418968247,-0.040928769019588335,0.3881188271099905,-0.25796927384936136,0.1208634530302306,0.1208634530302306,0.044419418473701316,210817,140028.38739371864,78,166,-0.36065573770491804,0.3912174375186438,0.6565693525826982,0.6579536562060284,0.40387646613479267,0.5879924089715793,60863.94709931837,0.28870511912852553,83,79,15520.097620527953,10919.14570954244,0.1016782904314103,-1.7238960609306293,0.06097154443481845,-0.5222186108346397,1.3279787754785026,-1.0832846594658596
Basin-3 a4r,1401011,0.4888815359707046,0.056031612460586,-0.029404617617075267,0.10909673956884844,-0.1293321709564532,-0.10297445995760161,-0.02018907272881033,-0.06809774957723184,-0.11178607226956631,0.3886380148977607,-0.14831353446857617,0.10909673956884844,0.10909673956884844,0.030950743346912862,197088,134679.78490940298,70,105,-0.2,0.4882052633932248,0.6694995541542856,0.6300839063266686,0.15329645662978994,0.6577836266674197,51253.65452710657,0.26005466861050175,67,66,11112.375742499624,2681.3572000062813,0.3785041078222692,0.20197562164710292,1.776662768467303,0.15720147425581,1.0030439276926781,1.1030519049826022
A00c_a6r,1690576,0.04996683368238081,0.1358083491110505,0.15987337720833977,-0.012153614853684462,0.18516515196732486,0.23366188608619912,0.2077989386421661,-0.05509161580918186,-0.11780659939197023,0.15351199590475104,0.07354411855531943,-0.012153614853684462,-0.012153614853684462,0.7023286749756249,860233,646099.0826889935,599,585,0.011824324324324325,0.4446703508935983,0.7032038382184498,0.7074853400716637,0.3401531351642276,0.7084407003167913,251363.3464202081,0.2922037941118373,260,251,170403.60050261437,6975.307518332323,0.9804304481617645,0.3865144267714263,-1.8466099133857306,-0.15598273891352932,-3.5291165275976337,0.6145089108637993
Basin-3 a4l,2349742,0.6399634208151612,0.0700897499502592,-0.009839176715283119,-0.06239868451288822,-0.006717975460750368,0.08061535172321374,-0.2398254878864716,-0.1990852851712552,0.3183801215264141,0.039565873862060154,-0.09251996545543315,-0.06239868451288822,-0.06239868451288822,0.11689857679487858,265792,203113.91321914637,167,114,0.18861209964412812,0.5671355556985462,0.5256581070610198,0.5913237035547183,0.20983234791038585,0.5505395897995413,91878.26453780262,0.3456773136053855,108,106,10502.222241213896,4566.791654164439,0.8380135338299632,-0.42714015367281377,1.0449368091687872,-1.723757494797531,1.7677340616130213,0.4594428603338486
A00c_a4l,2511238,-0.1038276170703959,0.0829328089742137,-0.1380299148905198,0.11181373490046473,-0.12745828225557565,-0.22964097814787574,-0.16481708574184245,-0.07607198716475526,0.08206648034304052,0.006597322618288915,-0.13038118218716635,0.11181373490046473,0.11181373490046473,0.33014126236707053,590548,386173.4195292585,323,401,-0.10773480662983426,0.36373801372884895,0.6605211340842201,0.7212416386719044,0.49239394446306084,0.7301798398062747,205090.13240196573,0.3472878282577635,114,111,74124.13959799294,8037.014194570637,-0.4275497534073823,0.14649260437929326,-0.8265403808720728,0.925683371047827,-1.762175974121945,-1.1263598862352626
A00c_a5r,2619565,0.1573740249207472,0.07597933713282122,-0.08802644824135397,-0.19171181323839323,-0.07009970357228612,-0.056914007907548525,-0.0728674388048906,-0.11248069361137938,0.07829762882350834,0.09843315349962427,0.021466818002830002,-0.19171181323839323,-0.19171181323839323,0.9064864292894557,558427,353523.49628820777,296,334,-0.06031746031746032,0.29781688941346607,0.6599681152004369,0.7193004215461356,0.44718140046101745,0.7356445370163225,165388.7033449228,0.29616888750888265,113,110,100791.5963737157,3109.123474895692,0.23954805157769604,0.5681861706086824,0.21605226226225765,0.7828183746834538,-2.5614261517238583,-0.7557050950082793
A00c_a5l,2816457,-0.1986583997618601,0.06964111197711659,-0.10157153783263743,0.03974012217077745,-0.09821221199292884,-0.11124442630815108,-0.10727969568405095,0.009844793751266684,-0.16757064329154034,-0.16180631730631917,-0.026843589867930534,0.03974012217077745,0.03974012217077745,0.37145426923745534,575743,368781.7892561588,304,405,-0.14245416078984485,0.2268859548840777,0.6151386713959996,0.6734827345158264,0.3853994888596405,0.658704971150597,160050.71764953865,0.27798986292414957,145,142,86904.8694736583,3444.8576922403404,0.19705004000754583,-0.11006225935228692,0.4535004225328367,-0.6567436831465281,-1.942324010454157,-0.43742358390767644
A09b a1l Basin-1,3034133,1.4254815474263343,0.09690623790451743,0.1987507278435732,-0.1882427887464996,0.28916165937241856,-0.05554103237389759,0.19190544206633706,0.13209547915534994,-0.08120131773679966,0.015284736923104765,0.1545249155901478,-0.1882427887464996,-0.1882427887464996,0.36241468705359503,506274,424091.7926496281,366,307,0.08766716196136701,0.3042502479683761,0.6647124325276795,0.6354495907971521,0.36416844267590587,0.6487207548797251,181934.46585970183,0.359359686374773,262,249,10922.992360627279,7223.034000346167,-0.9787180021718005,-0.3347848167227206,0.24814876898970134,-0.47530807669205266,-0.03033586147947928,-0.4817470809086625
A09c a1l Basin-4,3040481,0.6499344456997607,0.057647695864897534,0.07764444786698121,-0.1683214188944691,0.1380201508467413,-0.10667121795984379,0.10229265973425461,0.07832061122317432,-0.07717526023844962,-0.001537824792506072,0.22195420377909778,-0.1683214188944691,-0.1683214188944691,0.5681823335122103,308133,222629.00816928816,202,175,0.07161803713527852,0.35913200000688694,0.6179937001037767,0.6284714842538239,0.2754574808062453,0.6084596510644772,72399.63269614513,0.23496228153474352,140,135,10895.189490792467,11475.993159757056,-0.4215986233035085,-1.5950873438578306,-0.02556382446409733,-0.45203090166525506,1.1703480835047892,0.12840560043252935
A09a a1l Basin-2,3041612,0.5684663213123898,0.03687176159420789,-0.06591235181658649,-0.33582372810155653,-0.2657404225890177,-0.013366547469721707,-0.01856487503702163,0.17453423023261444,-0.06512190178923112,-0.048762896421023966,0.10203870725622376,-0.33582372810155653,-0.33582372810155653,0,383448,310432.0937043545,290,380,-0.13432835820895522,0.6921534536196541,0.6440017202919933,0.630536681010497,0.32012995580099113,0.6886090876934547,120478.84163209314,0.31419864396761266,192,183,9355.883603780909,5814.110182198559,-0.01364273917964448,0.9350174943849379,0.05763416069225874,0.5747307004256468,0.8593896539325736,-0.05230055470504935
A09a a1r Basin-2,3074106,0.5308977217217847,0.025588296166149264,0.0018742685750668682,0.17264205477449815,-0.12329473892380864,-0.10423460909281511,-0.027376869922381065,-0.044243710385717935,-0.10701815491196409,-0.3840710944763882,0.004192452198661031,0.17264205477449815,0.17264205477449815,0.25912839078809136,418955,349227.4872877274,334,369,-0.049786628733997154,0.8478879847043636,0.6317843511606548,0.6287834686212933,0.10187509866492062,0.6092549246899004,133824.5051232493,0.31942453276187016,190,183,11589.405905380074,7199.860609698928,0.6233647705568343,0.5663571045169558,-0.3096698847241302,-0.8640356619018297,1.9499973471455712,1.729211440127214
A09g a1r Basin-3,3091943,0.3452144420382964,0.04083012547598883,0.0232785273062132,0.31540817949728356,-0.2098194580040624,-0.1670669697498569,0.138632742584681,0.12217944702678356,0.2723075357523174,0.10348888489867256,0.23541783344440873,0.31540817949728356,0.31540817949728356,0.14919845510819535,343493,276377.63144304266,248,182,0.15348837209302327,0.5883342942775007,0.6238773121609466,0.6376962685238702,0.2917692380515034,0.6235298797612961,99771.93379116167,0.29046278611547155,196,187,8171.90203985786,6236.224125122897,0.1643773402525868,0.06209359580293289,0.36792076744624197,-0.4947356628359964,1.2130955326338702,-0.0014727406059495407
A00c_a4r,3093284,0.005829405758381395,0.08138019235115874,-0.14029677415262257,-0.15709507407448253,-0.19250113925880913,-0.02037555528258563,-0.07539430148314002,-0.11653014894293437,-0.09547625671003994,-0.017105013857252837,0.334748413597802,-0.15709507407448253,-0.15709507407448253,0.2982306302765537,599817,414749.9202438778,331,246,0.14731369150779897,0.35692145979050716,0.669041726655524,0.7188616940397153,0.33797374620930204,0.6565040462855287,187881.8541463765,0.3132319593248883,136,134,108665.69248742647,14690.5306797196,0.15097858449933904,-1.6625877884790239,-2.051306880816674,-0.03947439982206674,-1.303609077959948,0.2500346491969263
A09b a1r Basin-1,3282869,1.4436774605126865,0.0932058140890441,0.15795163109374494,0.34133873251234365,-0.016313224533713453,0.04757822226605966,0.16851330083560423,0.2195581296263735,0.12180524511287474,-0.21874603074205679,0.04461015182835628,0.34133873251234365,0.34133873251234365,0.01664311034185644,553963,472393.0664784558,388,300,0.12790697674418605,0.32760035234055684,0.6281765748831221,0.6277086172702594,0.296110802474161,0.6434124813112015,177641.91295138863,0.32067468937706783,280,274,11027.162935626182,3157.2686159830523,-0.7712925673913191,0.4134548309873198,0.9322804042018884,-0.9536497509250059,-0.22063922955772003,0.0669391606769484
gorogoro t2l,3720037,-1.7006856337867378,-0.5110994716962048,0.060037615080601764,0.03817892222053581,0.08912800710441829,-0.013488551823793046,-0.12992551305253444,-0.015459041263392247,-0.036071667082899266,0.09752127506850726,0.11511193353193462,0.060037615080601764,-0.060037615080601764,0.2968096926088567,750535,563021.2206755397,513,414,0.10679611650485436,0.7174690940264634,0.7044362317669635,0.712872116438393,0.2169949876575151,0.6874989177009886,232234.15629482167,0.3094248186890973,331,320,22696.85940035816,7209.389921969831,-0.6748330310840547,1.4266289503495437,-1.1271701588829381,-0.3094573163969645,0.07870731253232233,1.1591523779757644
telegoro-1R,3764792,-1.2643413893457343,-0.1645275867522942,-0.22904775873033323,0.0977654490177865,0.22288892115354908,0.04317433472053603,-0.27994480616450773,0.3161345764421718,-0.08511185054153844,0.0740383837862207,0.07805797775442197,-0.22904775873033323,0.22904775873033323,0.0920586212369716,461655,296950.8579329425,193,270,-0.16630669546436286,0.8523761575093596,0.6949270409002221,0.6870878211642092,0.16436754205996512,0.6644889970863224,119448.10510527962,0.25873889615682627,189,185,80282.69286477863,14157.342505746248,1.0327087501976953,-0.4083952520281086,-2.245454941316193,0.4997549225836121,0.7224283794184606,1.6651467237545987
A05q_a2l,3792035,-0.1400261213512623,-0.1561646047219585,0.03450517523713529,-0.18444613263928503,-0.21803368982648513,0.09955928398779743,0.13897851557598853,0.2611414207023995,0.06196542849122454,0.013160951369974564,-0.3251003794301444,0.03450517523713529,-0.03450517523713529,0.007512830008994234,285150,186734.76643386524,122,189,-0.21543408360128619,0.8242315334542832,0.6960617520312308,0.6803074776566714,0.23346545668078528,0.649894920828395,64069.64776989279,0.22468752505661158,121,116,34787.24703080747,6300.087999560428,1.132783036138746,0.5769225716604041,-0.08480450052006755,0.20233101181608712,1.3416097523684054,0.6455483073971559
telephone-1R,3862443,-1.1026042787035262,-0.021979585074706005,-0.5392778146783879,0.05526308776835078,0.1742782238510347,0.023179611059171153,0.16392095538568396,0.021345159371781684,0.08763148625645582,-0.11192985718064376,-0.16101001471147353,-0.5392778146783879,0.5392778146783879,0.12062853817258347,594806,472879.90234836086,358,443,-0.10611735330836454,0.3022487477557657,0.624217781276433,0.6583068523355815,0.3185912968767657,0.6253880692963938,191416.19413802098,0.32181281651163735,405,383,16848.534555495335,7169.3884001982615,-0.9603555726932984,-0.3528572393577176,0.07237891616026859,-1.126650702915655,-0.13288301314666923,-0.06356479059521523
ipsigoro L,3979181,-0.8707225691627704,-0.313225997816786,-0.03601804889399929,0.06484849557760318,0.14989693181902958,0.02616820904563017,-0.2660881586453599,0.1601953881339267,-0.08064930621457539,0.2085484142174379,0.2411021530043468,-0.03601804889399929,0.03601804889399929,0.0460293106184858,445547,290761.2685840663,171,393,-0.39361702127659576,0.5664214146107329,0.6543763237439033,0.7022757954041591,0.2937580614403054,0.6718218330282056,128232.62551101667,0.2878094241707759,153,144,44274.464746331454,2642.4205775677206,0.4618809402040453,0.9290577528039716,0.5915804300646332,-0.09645212407570479,-0.19810817091173358,0.21247737707793682
A09c a1r Basin-4,4049878,0.7061408537997548,0.051958675050813544,0.03664945893188236,0.26974412660144426,-0.12945197922957252,-0.1119957011424282,0.09268767049058546,0.13805586867339897,0.18518083712497455,0.0031261905094755508,0.012744238389389095,0.26974412660144426,0.26974412660144426,0.16812413553326735,332072,257645.17714556708,190,206,-0.04040404040404041,0.34351094100001034,0.6429662155755212,0.6619176952180872,0.36012774280226295,0.6498578150079919,92541.46102387246,0.27867890404452184,172,168,12163.551012430591,13281.359634143806,-0.8204332412488654,-1.568077680658283,-0.5282592926908349,0.3563913153925236,0.8026868969096104,-0.46025465137224286
A05q_a1l,4740178,-0.6661052291452443,-0.11065614750255647,0.011878993132344872,-0.32104864124091526,-0.3109277739110717,0.09985845895224865,0.11800618770881384,0.3416350683769061,0.026847374096300208,-0.024067284674505786,-0.2553878106089972,0.011878993132344872,-0.011878993132344872,0.20866620813713563,355381,263401.3806500009,202,207,-0.012224938875305624,0.712457658911184,0.6548335526948157,0.701563381516068,0.2234237457647511,0.7117768658741882,123957.5794730388,0.3488019322165192,136,131,19600.562709446574,10545.522430554505,-0.1248344237611903,0.2273207571432043,-0.7360432830724708,1.302895384389369,1.058589772628241,0.9243388899354154
